University Name,Count
Weill Cornell College of Medicine,2
Vellore Institute of Technology,1
Chittagong University of Engineering and Technology,1
Puducherry Technological University,1
Aston University,1
Lund University,1
King’s College,1
Daffodil International University,1
Medi-Caps University,1
Shanxi Medical University,1
Lovely Professional University,1
Jagannath University,1
West Virginia University Heart and Vascular Institute,1
Inonu University,1
Goce Delčev University of Štip,1
University of Waterloo,1
Dhaka International University,1
Sharif University of Technology,1
Innovation Campus Paris,1
University of California,2
Thomas Jefferson University Hospital,1
American College of Chest Physicians,1
Beijing Institute of Heart, Lung and Blood Vessel Diseases,1
Kean University,1
Bharath Institute of Higher Education and Research,1
Kirklareli University,1
Shanghai Pudong Hospital,1
Shandong First Medical University,1
Massachusetts Institute of Technology,2
University of Texas Southwestern Medical Center,1
University of Michigan,1
University of California Los Angeles,1
Columbia University Irving Medical Center,1
Toronto Metropolitan University,1
East China University of Science and Technology,1
Southwest Medical University,1
Mayo Clinic,1
Amrita School of Engineering,1
University of Alberta,1
Ningbo Hospital,1
Chinese PLA General Hospital,1
Chongqing Medical University,1
Hokkaido University,1
University of Toledo,1
Peter Munk Cardiac Centre,1
University of Amsterdam,1
University of Louisiana at Lafayette,1
